session_id,user_id,has_buy,has_cart,has_fav,raw_sequence,compressed_sequence,raw_length,compressed_length
1000001_001,1000001,False,False,False,pv→pv→pv,pv,3,1
1000001_002,1000001,False,False,False,pv,pv,1,1
1000001_003,1000001,False,False,False,pv→pv→pv→pv→pv→pv,pv,6,1
1000001_004,1000001,False,False,False,pv,pv,1,1
1000001_005,1000001,False,False,False,pv→pv→pv→pv→pv→pv→pv,pv,7,1
1000001_006,1000001,False,False,False,pv→pv,pv,2,1
1000001_007,1000001,False,False,False,pv→pv,pv,2,1
1000001_008,1000001,False,False,False,pv,pv,1,1
1000001_009,1000001,False,False,False,pv,pv,1,1
1000001_010,1000001,False,False,False,pv→pv,pv,2,1
1000001_011,1000001,True,False,False,pv→pv→pv→pv→pv→pv→buy→pv→pv,pv→buy→pv,9,3
1000004_001,1000004,False,False,False,pv→pv,pv,2,1
1000004_002,1000004,False,True,False,pv→cart→pv→pv,pv→cart→pv,4,3
1000004_003,1000004,False,False,False,pv,pv,1,1
1000004_004,1000004,False,True,False,cart→pv→pv→pv→pv→pv→pv→pv→pv,cart→pv,9,2
1000004_005,1000004,False,False,False,pv→pv→pv→pv,pv,4,1
1000004_006,1000004,False,False,False,pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv,pv,15,1
1000004_007,1000004,False,False,False,pv→pv,pv,2,1
1000004_008,1000004,False,False,False,pv,pv,1,1
1000004_009,1000004,False,False,False,pv→pv→pv,pv,3,1
1000004_010,1000004,False,True,False,pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→cart→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv,pv→cart→pv,53,3
1000004_011,1000004,False,False,False,pv→pv→pv→pv→pv→pv,pv,6,1
1000004_012,1000004,False,False,False,pv,pv,1,1
1000004_013,1000004,False,False,False,pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv→pv,pv,13,1
1000004_014,1000004,False,False,False,pv→pv→pv→pv→pv→pv→pv→pv→pv,pv,9,1
1000004_015,1000004,False,False,False,pv→pv→pv,pv,3,1
1000004_016,1000004,False,False,False,pv→pv→pv,pv,3,1
1000011_001,1000011,True,False,False,buy→pv→pv→pv,buy→pv,4,2
1000011_002,1000011,False,False,False,pv→pv→pv,pv,3,1
1000011_003,1000011,False,False,False,pv,pv,1,1
